date	close
1-May-12	582.13
30-Apr-12	583.98
27-Apr-12	603.00
26-Apr-12	607.70
25-Apr-12	610.00
24-Apr-12	560.28
23-Apr-12	571.70
20-Apr-12	572.98
19-Apr-12	587.44
18-Apr-12	608.34
17-Apr-12	609.70
16-Apr-12	580.13
13-Apr-12	605.23
12-Apr-12	622.77
11-Apr-12	626.20
10-Apr-12	628.44
9-Apr-12	636.23
5-Apr-12	633.68
4-Apr-12	624.31
3-Apr-12	629.32
2-Apr-12	618.63
30-Mar-12	599.55
29-Mar-12	609.86
28-Mar-12	617.62
27-Mar-12	614.48
26-Mar-12	606.98
23-Mar-12	596.05
22-Mar-12	599.34
21-Mar-12	602.50
20-Mar-12	605.96
19-Mar-12	601.10
16-Mar-12	585.57
15-Mar-12	585.56
14-Mar-12	589.58
13-Mar-12	568.10
12-Mar-12	552.00
9-Mar-12	545.17
8-Mar-12	541.99
7-Mar-12	530.69
